sample_key,secchi_m,PC1,PC2
BOA001,0.36,-5.049811599443972,-3.329590540752848
BOA002,0.29,-5.613590973582243,-3.283670033726612
BOA003,0.34,-4.825008309095203,-3.1800315894965605
BOA004,0.36,-4.753015206921369,-3.1476065453592126
BOA005,0.34,-5.9815061011101545,-3.0268482370852094
BOA007,0.32,0.2743740668438209,5.576179202645245
BOA008,0.34,-3.458587028631912,0.5224678271967389
BOA009,0.36,-4.96733062741961,-3.0660280082973284
BOA010,0.36,-4.4452203303659275,3.652395897059174
BOA011,0.46,-2.6131085145690545,-2.0936693268366398
IPA001,0.21,-0.20348336178783366,1.4512109802037205
IPA002,0.21,-0.7675304721877214,-2.1413180979691875
IPA003,0.21,8.268854582626034,1.553803903291743
IPA004,0.2,2.7716160781167805,4.131890727885333
IPA005,0.2,12.441793193052188,-3.8895606625859624
IPA006,0.2,-2.972234851766834,6.327377430231719
IPA007,0.19,8.779103736847738,-1.5759670525166005
IPA008,0.2,-4.786534460476106,6.005340484304037
IPA009,0.2,3.1961050228996184,-2.555589791100133
IPA010,0.2,-0.3202666619404281,7.18795371924943
IPA011,0.21,15.115386541789778,0.414074113764544
ITAA001,0.2,-0.09000472287759298,-5.532814400105384
