wl_nm,n_points,cor_pearson,cor_spearman
406.99341,22,-0.34690915816928775,-0.338623061314164
415.83899,22,-0.3675415458793984,-0.3617372634516495
423.78476,22,-0.35858565994818303,-0.29932891768043846
431.33469,22,-0.3541257962906974,-0.2635019043673358
438.65689,22,-0.4720325730382424,-0.4975332010093774
446.01471,22,-0.4629414282098471,-0.46632902812377186
453.38947,22,-0.41112060708481984,-0.4193522521850773
460.73175,22,-0.41185564890701265,-0.24963338308484442
468.09842,22,-0.41126575450855607,-0.3247545400316726
475.31885,22,-0.44871964772347334,-0.4328134350244177
482.54816,22,-0.4227788828539705,-0.34151233658134966
489.79486000000003,22,-0.44055927547343365,-0.3103081636957441
497.05865,22,-0.4363627868606243,-0.33400022088666687
504.51172,22,-0.4407964181236972,-0.33400022088666687
512.04639,22,-0.43305133386215783,-0.32995523551260686
519.54376,22,-0.44941306470298775,-0.32244311981792406
527.3053,22,-0.4709373620386098,-0.4241456092228606
535.05255,22,-0.5126579314773908,-0.4611283326428376
542.88513,22,-0.530002510698968,-0.53740519969654
550.91461,22,-0.527623732748652,-0.48713181004750894
559.02026,22,-0.5225726757790864,-0.4651733180168976
567.20612,22,-0.4956898969328126,-0.433969145131292
575.48682,22,-0.4779051481604638,-0.338623061314164
583.84412,22,-0.468106829420638,-0.3149310041232412
592.33899,22,-0.4667609221550716,-0.34209019163478677
601.0144,22,-0.48614109932203425,-0.32995523551260686
609.95819,22,-0.4969039926919038,-0.3276438152988583
618.71997,22,-0.5065366253441056,-0.3930524210694039
627.77844,22,-0.5229777289615591,-0.34209019163478677
636.67627,22,-0.5176337667488337,-0.35480300281040383
645.96381,22,-0.5131477062283412,-0.32822167035229544
655.41876,22,-0.5171665611165174,-0.3286033843793473
664.8941,22,-0.5189719932254167,-0.33688949615385255
674.46436,22,-0.5205272490031518,-0.33688949615385255
684.13727,22,-0.5451063604962689,-0.42703488449004634
694.12836,22,-0.5901621607533177,-0.5795886185974513
703.737,22,-0.6415155730700793,-0.6320629741755782
713.72687,22,-0.6307642134530651,-0.6287062981396081
723.87994,22,-0.5928779118423093,-0.516602417772803
733.9552,22,-0.5610704882558992,-0.4611283326428376
744.14954,22,-0.5448422399216528,-0.44032555071910057
754.4696,22,-0.5501879975131395,-0.4472598113603462
764.85645,22,-0.5763589263981079,-0.5090903020781201
775.2735,22,-0.5583415352484308,-0.44899337652065763
785.65955,22,-0.5440823816394555,-0.4385919855587892
796.12701,22,-0.5405180109680263,-0.44032555071910057
806.71106,22,-0.530116668246633,-0.4466819563069091
817.31104,22,-0.5236188075522095,-0.438014130505352
827.91949,22,-0.5291981611648248,-0.43916984061222625
838.52722000000006,22,-0.5347769391154298,-0.43107986986410635
849.20996,22,-0.5392896320325977,-0.4281905945969206
859.97314,22,-0.5440007599988507,-0.4385919855587892
870.74255,22,-0.5453645322503914,-0.44899337652065763
881.45605,22,-0.54133775545237806,-0.43454700018472914
892.08093,22,-0.5235322367633379,-0.43107986986410635
